BUILDING_ID,BUILDING_AREA,EFFECTIVE_DATE,AREA_UNIT
1,0,00:00.0,undefined
2,6613.674316,00:00.0,m2
21,92903.03906,00:00.0,m2
4,4360.125488,00:00.0,m2
5,6934.189941,00:00.0,m2
6,7123.897949,00:00.0,m2
7,1594.030396,00:00.0,m2
10,3094.693115,00:00.0,m2
11,15456.27832,00:00.0,m2
12,4679.433105,00:00.0,m2
13,3648.023682,00:00.0,m2
14,9524.698242,00:00.0,m2
15,4279.578613,00:00.0,m2
16,17387.26758,00:00.0,m2
17,4180.636719,00:00.0,m2
18,6621.106934,00:00.0,m2
19,9383.207031,00:00.0,m2
20,929.0303955,00:00.0,m2
8,1378.216553,00:00.0,m2
9,9443.222656,00:00.0,m2
